"date","taylor"
"20150101",1.7078307768550722
"20150401",1.724433088893079
"20150701",1.4462448762985962
"20151001",1.0291966940521597
"20160101",1.0295877340709223
"20160401",1.2087607650353087
"20160701",1.2579751231315932
"20161001",2.101412866252205
"20170101",3.009920860232667
"20170401",2.4454630298296114
"20170701",2.9764999782673605
"20171001",3.495406372123368
"20180101",3.7586487885746065
"20180401",4.707793582205765
"20180701",4.5762150504747146
"20181001",4.073498291583118
"20190101",3.7614520106414377
"20190401",3.4030793343201604
"20190701",3.5929197705263243
"20191001",3.4456170494063585
"20200101",2.6555462405685484
"20200401",-3.127008823599276
"20200701",1.0108701989034807
"20201001",1.672590217099207
"20210101",3.4834689757738686
"20210401",7.065090260355881
"20210701",8.176953131163982
"20211001",10.406591234422619
"20220101",11.200545412762523
"20220401",11.916978625573226
"20220701",11.170479869600562
